KM log-rank p (race): 0.0058

Proportional hazards test (Schoenfeld, rank transform)

  C(age_group, Treatment(reference='40-64'))[T.18-39]: p = 0.1825
  C(age_group, Treatment(reference='40-64'))[T.65+]: p = 0.0002 *violated*
  C(arrival_shift, Treatment(reference='day'))[T.evening]: p = 0.0000 *violated*
  C(arrival_shift, Treatment(reference='day'))[T.night]: p = 0.0000 *violated*
  C(disposition_group, Treatment(reference='HOME'))[T.ADMITTED]: p = 0.5278
  C(disposition_group, Treatment(reference='HOME'))[T.OTHER]: p = 0.5152
  C(disposition_group, Treatment(reference='HOME'))[T.TRANSFER]: p = 0.0003 *violated*
  C(injury_group, Treatment(reference='acute_pancreatitis'))[T.fall]: p = 0.1199
  C(injury_group, Treatment(reference='acute_pancreatitis'))[T.fracture_dislocation]: p = 0.0462 *violated*
  C(injury_group, Treatment(reference='acute_pancreatitis'))[T.other_trauma]: p = 0.9800
  C(insurance_group, Treatment(reference='private'))[T.Medicaid]: p = 0.3335
  C(insurance_group, Treatment(reference='private'))[T.Medicare]: p = 0.2714
  C(insurance_group, Treatment(reference='private'))[T.undocumented]: p = 0.1535
  C(language_group, Treatment(reference='English'))[T.non-English]: p = 0.0694
  C(language_group, Treatment(reference='English'))[T.undocumented]: p = 0.0003 *violated*
  C(race_ethnicity, Treatment(reference='White'))[T.Asian]: p = 0.9010
  C(race_ethnicity, Treatment(reference='White'))[T.Black]: p = 0.1441
  C(race_ethnicity, Treatment(reference='White'))[T.Hispanic]: p = 0.1182
  C(sex, Treatment(reference='F'))[T.M]: p = 0.2959
  initial_pain_score: p = 0.0000 *violated*
  triage_acuity: p = 0.0000 *violated*
